TestWorldCupTDD - Test Case Register
============================================================
Source: src(1).zip (updated TC numbering)
Register entries: 257
Validated Allure result: Re-run required after TC renumbering
============================================================

REGISTER_ID | CODE_TEST_ID | TEST_CLASS | TEST_METHOD | SOURCE_FILE | CATEGORY | RESULT | NOTES
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
REG-001 | TC-T001 | DatabaseTest | TC01_shouldSaveTeam | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-002 | TC-T002 | DatabaseTest | TC02_shouldRetrieveSavedTeam | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-003 | TC-T003 | DatabaseTest | TC03_shouldSaveGroup | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-004 | TC-T004 | DatabaseTest | TC04_shouldRetrieveSavedGroup | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-005 | TC-T005 | DatabaseTest | TC05_shouldSaveMatch | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-006 | TC-T006 | DatabaseTest | TC06_shouldRetrieveSavedMatch | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-007 | TC-T007 | DatabaseTest | TC07_shouldSavePlayer | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-008 | TC-T008 | DatabaseTest | TC08_shouldRetrieveSavedPlayer | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-009 | TC-T009 | DatabaseTest | TC09_shouldSaveMatchResult | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-010 | TC-T010 | DatabaseTest | TC10_shouldRetrieveSavedMatchResult | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-011 | TC-T011 | DatabaseTest | TC11_shouldReturnNullForMissingTeam | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-012 | TC-T012 | DatabaseTest | TC12_shouldReturnNullForMissingGroup | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-013 | TC-T013 | DatabaseTest | TC13_shouldReturnNullForMissingMatch | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-014 | TC-T014 | DatabaseTest | TC14_shouldReturnNullForMissingPlayer | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-015 | TC-T015 | DatabaseTest | TC15_shouldReturnNullForMissingResult | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
REG-016 | TC-T016 | DatabaseTest | TC16_shouldSaveAndRetrieveSecondTeam | src/test/java/com/testworldcup/testworldcuptdd/DatabaseTest.java | Database | PASS* | 
